Article_Number,Second_Filter_Flag,Article_Title,Authors,Abstract,Email_Addresses,Publication_Year,DOI,Source_Title,Keyword_Search,Reviewer,Recorder,Decision,Removal_Criteria,study_type,subject_1,subject_2,subject_3,subject_4,hybridization,system,tax_group,country_samp,loc_samp,year_samp,num_samp,num_timepoints,earliest_timepoint,latest_timepoint,gen_time,study_design,type_change,driver_process1,driver_process2,driver_process3,length_process,data_type,tissue_type,preserv_method,extract_method,seq_platform,lib_prep_method,notes
4839,NA,Evolutionary dynamics of hybridization and introgression following the recent colonization of Glossy Ibis (Aves: Plegadis falcinellus) into the New World,"Oswald, JA; Harvey, MG; Remsen, RC; Foxworth, DU; Dittmann, DL; Cardiff, SW; Brumfield, RT","Geographic range shifts can cause secondary contact and hybridization between closely related species, revealing mechanisms of species formation and integrity. These dynamics typically play out in restricted geographic regions, but highly vagile species may experience major distributional changes resulting in broad areas of contact. The Glossy Ibis (Plegadis falcinellus) is a dispersive waterbird of the Old World and Australia that colonized eastern North America in the early 19th century and came into contact with the native White-faced Ibis (P. chihi). Putative hybrids between the two species have been observed across North America. To examine the population genomic consequences of this natural invasion, we sequenced 4,616 ultraconserved elements from 66 individuals sampled across the distributions of falcinellus, chihi, and the Puna Ibis (P. ridgwayi) of South America. We found genomic differentiation among the three species. Loci with high sequence divergence were often shared across all pairwise species comparisons, were associated with regions of high nucleotide diversity, and were concentrated on the Z chromosome. We detected signals of genetic admixture between chihi and falcinellus in individuals both near and far from their core area of sympatry. Genomic cline analyses revealed evidence of greater introgression into falcinellus from chihi, but we found little evidence for selection against hybrids. We also found signals of admixture between ridgwayi and South American populations of chihi. Our results indicate vagile species can experience pervasive introgression upon secondary contact, although we suggest these dynamics may be more ephemeral than the stable hybrid zones often observed in less dispersive organisms.",oswaldj3@gmail.com,2019,10.1111/mec.15008,MOLECULAR ECOLOGY,historical-dna,JW,ACS,reject,non-temporal,NA,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uses museum samples but lumps them together with modern samples
2490,NA,"The temporal and spatial scale of microevolution: fine-scale colour pattern variation in the Lake Erie watersnake, Nerodia sipedon insularum","Ray, JM; King, RB","Question: What is the temporal and spatial scale of microevolution? Hypotheses: The combined effects of natural selection and gene flow result in variation in heritable traits on fine spatial and geographic scales. Organism: The Lake Erie watersnake, Nerodia sipedon insularum. Field site: US and Canadian islands in western Lake Erie. Methods: We tested for variation in colour pattern frequency within islands, among islands, and over time using data from nearly annual censuses conducted since 1980, museum specimens, and published sources. We compared F-ST for a presumptive major colour pattern locus to F-ST for allozyme loci to determine whether spatial variation exceeded that expected by chance. We computed effective population size (:V,) based on temporal frequency changes in presumptive colour pattern alleles to determine whether temporal variation exceeded that expected by chance (N-e significantly less than infinity). Conclusions: Morph frequencies did not differ significantly within islands or between islands separated by short distances. Morph frequencies did sometimes differ significantly among distant islands and among sampling periods from 1980 to the present, but no more than expected by chance. In contrast, a marked change in morph frequency occurred between historic (prior to 1961) and recent (1980-2003) samples. Possible mechanisms include changes in the strength of selection (due to changes in predator assemblages and visual environments) and rates of gene flow (due to changes in island watersnake population size).",jray@odu.edu,2006,NA,EVOLUTIONARY ECOLOGY RESEARCH,temporal-genetics,JW,ACS,reject,non-genomic,NA,NA,NA,NA,NA,NA,freshwater,Reptilia,"Canada, USA",Lake Erie,NA,NA,NA,NA,NA,"730 (Bauman and Metter, 1977)",opportunistic,natural,competition,env_variation,human_exploitation,chronic,NA,NA,NA,NA,NA,NA,uses allozymes
4218,NA,Shift in Phenotypic Variation Coupled With Rapid Loss of Genetic Diversity in Captive Populations of Eristalis tenax (Diptera: Syrphidae): Consequences for Rearing and Potential Commercial Use,"Francuski, L; Djurakic, M; Ludoski, J; Hurtado, P; Perez-Banon, C; Stahls, G; Rojo, S; Milankov, V","Because of its importance as a pollinator and its potential economic usefulness for the biodegradation of organic animal waste, the genetic and phenotypic diversity of the drone fly, Eristalis tenax L. (Diptera: Syrphidae), was studied in both wild and captive populations from southeastern Europe. Wild specimens from a natural protected habitat (with low human impact), field crop habitat (semisynanthropic condition), and intensive pig farming habitat (synanthropic condition) were compared with a laboratory colony reared on artificial media. An integrative approach was applied based on allozyme loci, cytochrome c oxidase I mitochondrial DNA, wing traits (size and shape), and abdominal color patterns. Our results indicate that the fourth and eighth generations of the laboratory colony show a severe lack of genetic diversity compared with natural populations. Reduced genetic diversity in subsequent generations (F4 and F8) of the laboratory colony was found to be linked with phenotypic divergence. Loss of genetic variability associated with phenotypic differentiation in laboratory samples suggests a founder effect, followed by stochastic genetic processes and inbreeding. Hence, our results have implications for captive bred Eristalis flies, which have been used in crop pollination and biodegradation of organic waste under synanthropic conditions.",vesna.milankov@dbe.uns.ac.rs,2014,10.1603/EC13243,JOURNAL OF ECONOMIC ENTOMOLOGY,historical-dna,JW,ACS,reject,non-temporal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,Microgeographical population structure and adaptation in Atlantic cod Gadus morhua: spatio-temporal insights from gene-associated DNA markers,"Poulsen, NA; Hemmer-Hansen, J; Loeschcke, V; Carvalho, GR; Nielsen, EE","Recent technical advances have stimulated studies on spatial scales of adaptive genetic variation in marine fishes. However, very few studies have combined spatial and temporal sampling to investigate adaptive genetic structuring at local and microgeographical scales, i.e. scales at which neutral genetic markers have typically revealed very limited levels of population structure. In the present study we analyzed 92 gene-associated single-nucleotide polymorphism (SNP) markers in Atlantic cod Gadus morhua from several sampling sites within the North Sea and adjacent areas. To test for temporal stability, we included long-and short-term (i.e. from 24 to 38 and from 8 to 11 yr, respectively) temporally replicated samples from a subset of populations. As expected, we found very low levels of neutral genetic population structure (F-ST = 0.003). Three specific loci, however, showed highly elevated levels of genetic differentiation. Interestingly, these loci were identical to loci previously found to display signals of adaptive evolution on larger spatial scales. Analysis of historical samples revealed long-term temporally stable patterns of both neutral and adaptive divergence between some populations, indicating long-term temporal adaptive stability driven by strong local selection. In an environmentally dynamic area, on the other hand, patterns of genetic structuring were more variable. Overall, our results not only suggest separation of populations under both evolutionary and ecological paradigms, but also illustrate the usefulness of the spatio-temporal approach for making inferences about the dynamics and geographical distribution of adaptive genetic variation in natural populations.",jhh@aqua.dtu.dk,2011,10.3354/meps09246,MARINE ECOLOGY PROGRESS SERIES,historical-dna,KF,ACS,accept,accept,empirical,adaptation,connectivity,NA,NA,no,marine,Actinopterygii,"Norway,Denmark,UK","57.15/11.35.56.45/07.30.57.45/05.30, 54.29/00.02.50.47/0.29, 58.00/03.00.59.58/05.15, 62.53/06.18.60.56/08.52, 57.10/08.20, 55.17/03.39, NA, NA.NA","2007.01.01, 2006.01.01, 2003.01.01, 2002.01.01, 1999.01.01, 1996.01.01, 1978.01.01, 1965.01.01","40.40.40, 40.40, 40.40, 40.40, 40, 40, 32, 33.32",2,1965.01.01,2003.01.01,2739 (FishBase),opportunistic,natural,env_variation,NA,NA,chronic,SNP,gills,NA,chelex,Agena MassARRAY,NA,RC: 2 time points/location
4764,NA,Patterns of genomic variation in Coho salmon following reintroduction to the interior Columbia River,"Campbell, NR; Kamphaus, C; Murdoch, K; Narum, SR","Coho salmon were extirpated in the mid-20th century from the interior reaches of the Columbia River but were reintroduced with relatively abundant source stocks from the lower Columbia River near the Pacific coast. Reintroduction of Coho salmon to the interior Columbia River (Wenatchee River) using lower river stocks placed selective pressures on the new colonizers due to substantial differences with their original habitat such as migration distance and navigation of six additional hydropower dams. We used restriction site-associated DNA sequencing (RAD-seq) to genotype 5,392 SNPs in reintroduced Coho salmon in the Wenatchee River over four generations to test for signals of temporal structure and adaptive variation. Temporal genetic structure among the three broodlines of reintroduced fish was evident among the initial return years (2000, 2001, and 2002) and their descendants, which indicated levels of reproductive isolation among broodlines. Signals of adaptive variation were detected from multiple outlier tests and identified candidate genes for further study. This study illustrated that genetic variation and structure of reintroduced populations are likely to reflect source stocks for multiple generations but may shift over time once established in nature.",camn@critfc.org,2017,10.1002/ece3.3492,ECOLOGY AND EVOLUTION,temporal-genetics,KF,ACS,accept,accept,empirical,adaptation,connectivity,NA,NA,no,other,Teleostei,USA,"Wenatchee River, USA","2009.01.01, 2006.01.01, 2000.01.01","37, 70, 31",3,2000.01.01,2009.01.01,1095,pre-designed,anthropogenic,env_variation,NA,NA,chronic,SNP,scale,NA,Qiagen,Illumina_HiSeq,RAD,NA
8787,NA,Temporal stability and assignment power of adaptively divergent genomic regions between herring (Clupea harengus) seasonal spawning aggregations,"Kerr, Q; Fuentes-Pardo, AP; Kho, J; McDermid, JL; Ruzzante, DE","Atlantic herring (Clupea harengus), a vital ecosystem component and target of the largest Northwest Atlantic pelagic fishery, undergo seasonal spawning migrations that result in elusive sympatric population structure. Herring spawn mostly in fall or spring, and genomic differentiation was recently detected between these groups. Here we used a subset of this differentiation, 66 single nucleotide polymorphisms (SNPs) to analyze the temporal dynamics of this local adaptation and the applicability of SNP subsets in stock assessment. We showed remarkable temporal stability of genomic differentiation corresponding to spawning season, between samples taken a decade apart (2005 N = 90 vs. 2014 N = 71) in the Gulf of St. Lawrence, and new evidence of limited interbreeding between spawning components. We also examined an understudied and overexploited herring population in Bras d'Or lake (N = 97); using highly reduced SNP panels (N-SNPs > 6), we verified little-known sympatric spawning populations within this unique inland sea. These results describe consistent local adaptation, arising from asynchronous reproduction in a migratory and dynamic marine species. Our research demonstrates the efficiency and precision of SNP-based assessments of sympatric subpopulations; and indeed, this temporally stable local adaptation underlines the importance of such fine-scale management practices.",daniel.ruzzante@dal.ca,2019,10.1002/ece3.4768,ECOLOGY AND EVOLUTION,temporal-genomics,KF,ACS,accept,accept,empirical,adaptation,connectivity,NA,NA,no,marine,Actinopterygii,Canada,Gulf of St. Lawrence,"2014.10.01, 2014.04.01, 2005.10.01, 2005.04.01","47, 31, 40, 30",4,2005.04.01,2014.10.01,1228,pre-designed,natural,env_variation,NA,NA,chronic,SNP,scale,"ethanol, frozen",phenolchloroform,Agena MassARRAY,PCR,NA
4362,NA,Evidence for concerted movement of nuclear and mitochondrial clines in a lizard hybrid zone,"Leache, AD; Grummer, JA; Harris, RB; Breckheimer, IK","Moving hybrid zones provide compelling examples of evolution in action, yet long-term studies that test the assumptions of hybrid zone stability are rare. Using replicated transect samples collected over a 10-year interval from 2002 to 2012, we find evidence for concerted movement of genetic clines in a plateau fence lizard hybrid zone (Sceloporus tristichus) in Arizona. Cline-fitting analyses of SNP and mtDNA data both provide evidence that the hybrid zone shifted northward by approximately 2 km during the 10-year interval. For each sampling period, the mtDNA cline centre is displaced from the SNP cline centre and maintaining an introgression distance of approximately 3 km. The northward expansion of juniper trees into the Little Colorado River Basin in the early 1900s provides a plausible mechanism for hybrid zone formation and movement, and a broadscale quantification of recent land cover change provides support for increased woody species encroachment at the southern end of the hybrid zone. However, population processes can also contribute to hybrid zone movement, and the current stability of the ecotone habitats in the centre of the hybrid zone suggests that movement could decelerate in the future.",leache@uw.edu,2017,10.1111/mec.14033,MOLECULAR ECOLOGY,historical-dna,JW,ACS,accept,accept,empirical,adaptation,connectivity,NA,NA,yes,terrestrial,Reptilia,USA,"(lat/lon.lat/lon) 34.90371/110.18208.34.83582/110.1449.34.79292/110.09873.34.73801/110.03783.34.6678/110.0377.34.6025/110.0624.34.52789/110.08072.34.33398/110.11372
","2012.01.01, 2002.01.01","20.9.18.12.18.10.14.20, 13.8.11.9.25.12.5.12",2,2002.01.01,2012.01.01,520 (Smith et al. 1996),opportunistic,natural,env_variation,competition,NA,chronic,mtDNA_seq,liver,NA,Qiagen,Illumina_HiSeq,RAD,NA
4362,NA,Evidence for concerted movement of nuclear and mitochondrial clines in a lizard hybrid zone,"Leache, AD; Grummer, JA; Harris, RB; Breckheimer, IK","Moving hybrid zones provide compelling examples of evolution in action, yet long-term studies that test the assumptions of hybrid zone stability are rare. Using replicated transect samples collected over a 10-year interval from 2002 to 2012, we find evidence for concerted movement of genetic clines in a plateau fence lizard hybrid zone (Sceloporus tristichus) in Arizona. Cline-fitting analyses of SNP and mtDNA data both provide evidence that the hybrid zone shifted northward by approximately 2 km during the 10-year interval. For each sampling period, the mtDNA cline centre is displaced from the SNP cline centre and maintaining an introgression distance of approximately 3 km. The northward expansion of juniper trees into the Little Colorado River Basin in the early 1900s provides a plausible mechanism for hybrid zone formation and movement, and a broadscale quantification of recent land cover change provides support for increased woody species encroachment at the southern end of the hybrid zone. However, population processes can also contribute to hybrid zone movement, and the current stability of the ecotone habitats in the centre of the hybrid zone suggests that movement could decelerate in the future.",leache@uw.edu,2017,10.1111/mec.14033,MOLECULAR ECOLOGY,historical-dna,JW,ACS,accept,accept,empirical,adaptation,connectivity,NA,NA,yes,terrestrial,Reptilia,USA,"(lat/lon.lat/lon) 34.90371/110.18208.34.83582/110.1449.34.79292/110.09873.34.73801/110.03783.34.6678/110.0377.34.6025/110.0624.34.52789/110.08072.34.33398/110.11372
","2012.01.01, 2002.01.01","20.20.20.20.40.20.19.20, 9.8.9.4.24.8.7.9",2,2002.01.01,2012.01.01,520 (Smith et al. 1996),opportunistic,natural,env_variation,competition,NA,chronic,SNP,liver,NA,Qiagen,Illumina_HiSeq,RAD,NA
5262,NA,"A hybrid zone revisited: molecular and morphological analysis of the maintenance, movement, and evolution of a Great Plains avian (Cardinalidae: Pheucticus) hybrid zone","Mettler, RD; Spellman, GM","Black-headed grosbeaks (Pheucticus melanocephalus) and rose-breasted grosbeaks (Pheucticus ludovicianus) are passerine bird species known to hybridize in the Great Plains of North America. Both extrinsic (environmental) and intrinsic factors (pre- and postzygotic reproductive isolation) have been credited for the generation and maintenance of the grosbeak hybrid zone, but little is known about the genetic characteristics of this hybrid zone. To investigate the stability and extent of the grosbeak hybrid zone, we constructed clines from both molecular sequence data (mtDNA, three autosomal intron loci, and one Z-linked locus) and morphological data (morphometric analyses and hybrid index scores) to determined zone centre and width. Hybrid zone centre and width were also determined for samples collected across the zone 40 years ago from morphological data. The present and past clines were compared and provided support for stability in hybrid zone location and width, and the evolutionary implications of this are discussed. Three models of hybrid zone maintenance were investigated to consider the influence of intrinsic and extrinsic factors on this zone. Our results suggest low hybrid frequencies, a stable zone location and narrow width, and reduced hybrid fitness over the past 40 years best categorize the grosbeak hybrid zone as a tension zone.",raeannmettler@bhsu.edu,2009,10.1111/j.1365-294X.2009.04217.x,MOLECULAR ECOLOGY,museum-dna,JW,ACS,reject,non-temporal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5766,NA,Morphometric and genetic changes in a population of Apis mellifera after 34 years of Africanization,"Francoy, TM; Wittmann, D; Steinhage, V; Drauschke, M; Muller, S; Cunha, DR; Nascimento, AM; Figueiredo, VLC; Simoes, ZLP; De Jong, D; Arias, MC; Goncalves, LS","Though the replacement of European bees by Africanized honey bees in tropical America has attracted considerable attention, little is known about the temporal changes in morphological and genetic characteristics in these bee populations. We examined the changes in the morphometric and genetic profiles of an Africanized honey bee population collected near where the original African swarms escaped, after 34 years of Africanization. Workers from colonies sampled in 1968 and in 2002 were morphometrically analyzed using relative warps analysis and an Automatic Bee Identification System (ABIS). All the colonies had their mitochondrial DNA identified. The subspecies that mixed to form the Africanized honey bees were used as a comparison for the morphometric analysis. The two morphometric approaches showed great similarity of Africanized bees with the African subspecies, Apis mellifera scutellata, corroborating with other markers. We also found the population of 1968 to have the pattern of wing venation to be more similar to A. m. scutellata than the current population. The mitochondrial DNA of European origin, which was very common in the 1968 population, was not found in the current population, indicating selective pressure replacing the European with the African genome in this tropical region. Both morphometric methodologies were very effective in discriminating the A. mellifera groups; the non-linear analysis of ABIS was the most successful in identifying the bees, with more than 94% correct classifications.",tfrancoy@rge.fmrp.usp.br,2009,10.4238/vol8-2kerr019,GENETICS AND MOLECULAR RESEARCH,temporal-genetics,JW,ACS,reject,non-genomic,NA,NA,NA,NA,NA,no,terrestrial,Insecta,Brazil,Ribeirão Preto (21° 10’S 47° 51’W) ,"2002.01.01, 1968.01.01","18, 18",NA,NA,NA,12 (DOI: 10.1051/apido:2005016),opportunistic,anthropogenic,invasive_species,NA,NA,chronic,mtDNA_seq,skin,dried,CTAB,NA,PCR,NA
