Article_Number,Second_Filter_Flag,Article_Title,Authors,Abstract,Email_Addresses,Publication_Year,DOI,Source_Title,Keyword_Search,Reviewer,Recorder,Decision,Removal_Criteria,study_type,subject_1,subject_2,subject_3,subject_4,hybridization,system,tax_group,country_samp,loc_samp,year_samp,num_samp,gen_time,study_design,type_change,driver_process1,driver_process2,driver_process3,length_process,data_type,tissue_type,preserv_method,extract_method,seq_platform,lib_prep_method,notes,,,,,,,,,
4252,,No Population Genetic Structure of Skipjack Tuna (Katsuwonus pelamis) in the Tropical Western and Central Pacific Assessed Using Single Nucleotide Polymorphisms,"Anderson, G; Lal, M; Stockwell, B; Hampton, J; Smith, N; Nicol, S; Rico, C","Skipjack tuna (Katsuwonus pelamis) has historically been considered panmictic at the ocean basin scale because of the species' life history and substantial absolute population size. However, recent advances in population genomics have enabled scientists to demonstrate population structure in other species that were likewise traditionally assumed to be panmictic. Accordingly, we used DArTseq, a proprietary platform of reduced-representation genome sequencing developed by Diversity Arrays Technology (DArTech) to genotype 222 skipjack tuna from 9 sample groups collected across 6 exclusive economic zones (EEZs) and over 6 years in the tropical Western and Central Pacific Ocean. This is one of the most fine-scale population genetics assessments of skipjack tuna to date. We found several statistically significant pairwise F-ST comparisons using purportedly neutral loci, but very little indication of structure based on observed and expected heterozygosity, effective population size, a Mantel test, AMOVA, numerous genetic clustering and population assignment tests, and exploration of correlation with oceanographic features. Significant pairwise F-ST values were often shallow and resulted in uncertainty about their biological significance. Furthermore, a test of the hypothesis that the geographic and temporal distribution of the potentially adaptive genetic diversity may depict cryptic fine scale structure using two different outlier detection methods, could not reject panmixia based on estimates of fixation indices and two clustering software. Our results support the presence of a single population of skipjack tuna in the tropical Western and Central Pacific Ocean, but highly recommend the expansion of the study area, in latitude, longitude, and seasonality, before drawing any global conclusions.",giuliaa@spc.int,2020,10.3389/fmars.2020.570760,FRONTIERS IN MARINE SCIENCE,temporal-genetics,BR,AAS,accept,accept,empirical,popsize,diversity,adaptation,connectivity,,marine,Actinopterygii,Papua New Guinea,Papua New Guinea,"2012.01.01,2011.01.01,2009.01.01,2007.01.01","27,30,31,28",766,opportunistic,anthropogenic,human_exploitation,,,chronic,SNP,muscle,NA,CTAB,Illumina_HiSeq,RAD,"generation time pulled from: https://www.fishbase.de/summary/katsuwonus-pelamis.html, used DartTech for extraction and sequencing. Samples collected from multple countries but temporal element only done on PG.. Not focused on anyone driver. Mentioned overexploration and looked at environmental variables. GPS are in the paper.  ",,,,,,,,,
10689,,Ecology drives evolution in grey wolves,"Leonard, JA","Background: Grey wolves (Canis lupus) are a widespread, Holarctic species distributed across a wide variety of habitats, including deserts, dry plains, boreal forests, and the high arctic. They are generalist carnivores, feeding on a wide variety of species throughout their range. Wolves also disperse readily, with multiple records of over 1000 km. Despite this, surprising examples of differentiation between contiguous wolf populations have been described. Questions: How can population differentiation arise and be maintained in a continuously distributed, generalist species? How might this structure impact evolution and conservation? Data: Previously published genetic, morphological, and ecological data from ancient, historic, and modern populations of grey wolves from across their distribution. Results: Genetic differentiation of wolf populations is tightly associated with habitat characteristics. This requires that dispersing wolves primarily disperse within their natal habitat. As wolves increase their range to occupy new areas, these tend to be colonized by small numbers of wolves often occupying similar habitats. The new arrivals quickly adapt to the new conditions and may be able to exclude other potential immigrating wolves. This limitation in the admixture between populations implies that populations in vanishing habitats (i.e. due to climate change or land use change) are likely to disappear with the habitats, resulting in the loss of locally adapted ecotypes. This cycle of repeated isolation and extinction has led to the observed low level of genetic diversity both within populations and within the species, lower than for other widespread canids. Conclusions: Structure in wolf populations is generated through 'isolation by environment'. This implies that the genetic diversity is more partitioned than expected within the distribution range of wolves, leading to a decrease in the effective population size and evolutionary potential of wolves within a given habitat, a threat when facing environmental changes. This has resulted in a pattern of local extinctions and reduced genetic variation.",jleonard@ebd.csic.es,2014,,EVOLUTIONARY ECOLOGY RESEARCH,ancient-dna,JW,AAS,reject,non-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,"They are really just reviewing wolves. They never mention temporal genomics as a field or mention any actual data (time points, uses, data types, etc.)",,,,,,,,,
8916,,Introductions over introductions: the genomic adulteration of an early genetically valuable alien species in the United Kingdom,"Barbanera, F; Forcina, G; Cappello, A; Guerrini, M; van Grouw, H; Aebischer, NJ","Invasive alien species are a major cause of biodiversity loss. Nevertheless, non-native species can also contribute to conservation objectives. In 1673, the red-legged partridge (Alectoris rufa), a galliform native to southwest Europe, was introduced from France (A. r. rufa) into the UK for hunting purposes. Nowadays, hunters constantly supplement natural populations of A. rufa in its native range with stocks of captive-bred individuals. Such birds are usually genetically unscreened, and human-mediated hybridization with the exotic chukar (Alectoris chukar) has undermined genomic integrity of the species. Alectoris rufa in the UK has never been genetically investigated, and birds from East Anglian estates with no modern history of supplementation offer a potential genomic backup for the highly polluted native-range A. r. rufa. We genotyped modern and ancient (1824-1934) birds at the mitochondrial DNA (mtDNA) level to determine present and past kinship between East Anglian and native-range A. rufa. We used Short Tandem Repeats (STR) and Random Amplified Polymorphic DNA (RAPD) markers to identify A. rufa x A. chukar hybrids. The kinship of East Anglian birds with A. r. rufa was confirmed. No A. chukar introgression was found in ancient East Anglian A. rufa. Among modern partridges, we found birds with A. chukar mtDNA, and both STRs and RAPDs disclosed many A. rufa 9 A. chukar hybrids. While the genetic analysis pointed to the increase of diversity and decline of disparity over time within and among A. rufa populations, respectively, the conservation value of the resource historically introduced to the UK proved to have been quashed by three decades of recent releases of A. chukar and its A. rufa hybrids.",filippo.barbanera@unipi.it,2015,10.1007/s10530-014-0739-5,BIOLOGICAL INVASIONS,ancient-dna,JW,AAS,accept,accept,empirical,connectivity,diversity,adaptation,,,terrestrial,Aves,"England, France, Italy, Portugal, Spain","England,England,England,Spain,Spain,France,France.Italy,France,France,France,Spain,France.England,England,England,England,England,England.Spain,Italy,Italy,Italy,Portugal,Italy,England,France.Corsica,Corsica,England.France.Italy,England,France,Spain,Italy.Portugal,Portugal,Italy,Italy,Italy,Portugal,Spain,Spain,Spain,Portugal.Spain.France,Portugal,France,Corsica,Italy,Spain,France,Portugal,England","1824.01.01,1843.01.01,1851.01.01,1856.01.01,1857.01.01,1859.01.01,1872.01.01,1873.01.01,1874.01.01,1876.01.01,1890.01.01,1891.01.01,1892.01.01,1893.01.01,1896.01.01,1897.01.01,1898.01.01,1899.01.01,1903.01.01,1905.01.01,1906.01.01,1907.01.01,1908.01.01,1910.01.01,1912.01.01,1914.01.01,1915.01.01,1916.01.01,1918.01.01,1920.01.01,1921.01.01,1922.01.01,1923.01.01,1924.01.01,1925.01.01,1929.01.01,1930.01.01,1931.01.01,1932.01.01,1934.01.01,1938.01.01,2002.01.01,2003.01.01,2004.01.01,2007.01.01,2008.01.01,2010.01.01","1,1,1,1,1,1,2.1,1,1,1,1,2.1,1,2,1,1,1.1,1,2,2,1,4,1,1.3,1,1.1.1,1,1,1,1.1,1,1,3,3,1,1,1,1,1.2.1,1,2,48,29,48,24,10,58",730,opportunistic,anthropogenic,invasive_species,,,chronic,mtDNA_seq,skin,dried,QIAamp DNA micro kit,ABI 3730 DNA automated sequencer,PCR,"Randi E, Tabarroni C, Rimondi S, Lucchini V, Sfougaris A (2003) Phylogeography of the rock partridge (Alectoris graeca). Molecular Ecology, 12, 2201–2214. Microsats were not used  in temporal analysis. ",,,,,,,,,
7207,,Spatiotemporal genetic structure of anadromous Arctic char (Salvelinus alpinus) populations in a region experiencing pronounced climate change,"Christensen, C; Jacobsen, MW; Nygaard, R; Hansen, MM","We examined spatio-temporal genetic variation at 53 single nucleotide polymorphisms in anadromous Arctic char populations from Western Greenland, a region experiencing pronounced climate change. The study was based on contemporary and historical samples, the latter represented by DNA extracted from otoliths and scales from the 1950s-1960s. We investigated whether genetic population structure was temporarily stable or unstable, the latter due to relatively small spawning and nursery areas combined with a harsh Arctic environment. Furthermore, in order to evaluate the potential for adaptive responses and local adaptation we estimated effective population size (N-e) and migration rate (m). Temporal stability of genetic population structure was suggested, based on a hierarchical analysis of genetic differentiation showing much higher differentiation among samples from different populations (F-CT = 0.091) than among temporal samples from the same populations (F-SC = 0.01). This was further supported by a neighbor-joining tree and assignment of individuals that showed high contingency between historical and contemporary samples. Estimates of N-e were high (> 500) in three out of four populations, with a lower estimate in one population potentially reflecting fishing pressure or suboptimal environmental conditions. Estimates of m were in most cases low, ae<currency> 0.01. N-e and m estimates suggest a potential for adaptive responses and local adaptation. However, long generation time may also cause adaptive responses by microevolution to be unable to track climate change, especially considering the low migration rates that reduce potential evolutionary rescue by gene flow from populations better adapted to the altered environments.",mmh@bios.au.dk,2018,10.1007/s10592-018-1047-x,CONSERVATION GENETICS,historical-dna,AAS,AAS,accept,accept,empirical,connectivity,popsize,adaptation,,,other,Actinopterygii,Greenland,"Eqaluit,Kapisilit.Kobbefjord River.Qarajat,Kobbefjord River,Praestefjord,Qarajat,Kobbefjord Lake,Kapisilit.Qarajat.Eqaluit,Kobbefjord River.Praestefjord,Lakseelv.Eqaluit","1952.01.01,1953.01.01,1963.01.01,1966.01.01,1969.01.01,2008.01.01,2012.01.01,2013.01.01,2014.01.01","27,36.22.30,7,2,3,22,,20.20.20,20.20,20.20",7300,opportunistic,anthropogenic,climate_change,,,chronic,nuclear_seq,bone,dried,E.Z.N.A. Tissue DNA Extraction kit ,Fluidigm EP1 instrumentation,RAD,Fishbase for generation time. The paper looked at the temporal stability of the population structure. Historical samples use Ololiths and scales.,,,,,,,,,
1716,,Stepwise colonization of the Andes by Ruddy Ducks and the evolution of novel ?-globin variants,"Munoz-Fuentes, V; Cortazar-Chinarro, M; Lozano-Jaramillo, M; Mccracken, KG","Andean uplift played a key role in Neotropical bird diversification, yet past dispersal and genetic adaptation to high-altitude environments remain little understood. Here we use multilocus population genetics to study population history and historical demographic processes in the ruddy duck (Oxyura jamaicensis), a stiff-tailed diving duck comprising three subspecies distributed from Canada to Tierra del Fuego and inhabiting wetlands from sea level to 4500m in the Andes. We sequenced the mitochondrial DNA, four autosomal introns and three haemoglobin genes (A, D, A) and used isolation-with-migration (IM) models to study gene flow between North America and South America, and between the tropical and southern Andes. Our analyses indicated that ruddy ducks dispersed first from North America to the tropical Andes, then from the tropical Andes to the southern Andes. While no nonsynonymous substitutions were found in either globin gene, three amino acid substitutions were observed in the A globin. Based on phylogenetic reconstruction and power analysis, the first A substitution, found in all Andean individuals, was acquired when ruddy ducks dispersed from low altitude in North America to high altitude in the tropical Andes, whereas the two additional substitutions occurred more recently, when ruddy ducks dispersed from high altitude in the tropical Andes to low altitude in the southern Andes. This stepwise colonization pattern accompanied by polarized A globin amino acid replacements suggest that ruddy ducks first acclimatized or adapted to the Andean highlands and then again to the lowlands. In addition, ruddy ducks colonized the Andean highlands via a less common route as compared to other waterbird species that colonized the Andes northwards from the southern cone of South America.",Violeta.Munoz@ebd.csic.es,2013,10.1111/mec.12151,MOLECULAR ECOLOGY,historical-dna,JW,AAS,reject,non-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5553,,"Ancient DNA Reveals Genetic Stability Despite Demographic Decline: 3,000 Years of Population History in the Endemic Hawaiian Petrel","Welch, AJ; Wiley, AE; James, HF; Ostrom, PH; Stafford, TW; Fleischer, RC","In the Hawaiian Islands, human colonization, which began approximately 1,200 to 800 years ago, marks the beginning of a period in which nearly 75% of the endemic avifauna became extinct and the population size and range of many additional species declined. It remains unclear why some species persisted whereas others did not. The endemic Hawaiian petrel (Pterodroma sandwichensis) has escaped extinction, but colonies on two islands have been extirpated and populations on remaining islands have contracted. We obtained mitochondrial DNA sequences from 100 subfossil bones, 28 museum specimens, and 289 modern samples to investigate patterns of gene flow and temporal changes in the genetic diversity of this endangered species over the last 3,000 years, as Polynesians and then Europeans colonized the Hawaiian Islands. Genetic differentiation was found to be high between both modern and ancient petrel populations. However, gene flow was substantial between the extirpated colonies on Oahu and Molokai and modern birds from the island of Lanai. No significant reductions in genetic diversity occurred over this period, despite fears in the mid-1900s that this species may have been extinct. Simulations show that even a decline to a stable effective population size of 100 individuals would result in the loss of only 5% of the expected heterozygosity. Simulations also show that high levels of genetic diversity may be retained due to the long generation time of this species. Such decoupling between population size and genetic diversity in long-lived species can have important conservation implications. It appears that a pattern of dispersal from declining colonies, in addition to long generation time, may have allowed the Hawaiian petrel to escape a severe genetic bottleneck, and the associated extinction vortex, and persist despite a large population decline after human colonization.",andreann@buffalo.edu,2012,10.1093/molbev/mss185,MOLECULAR BIOLOGY AND EVOLUTION,ancient-dna,ACS,KC,accept,accept,empirical,connectivity,popsize,diversity,,,other,Aves,United States,"Hawaii,Maui,Lanai,Molokai,Oahu.Hawaii,Maui,Lanai,Molokai,Kauai.Hawaii,Maui,Lanai,Molokai,Kauai.Hawaii,Maui,Lanai,Molokai,Kauai","NA,1907.01.01,1914.01.01,NA","195,12,26,512",5475,opportunistic,anthropogenic,human_exploitation,invasive_species,,chronic,mtDNA_seq,bone,dried,phenol/chloroform Fleischer et al. 2000,Sanger,Targeted_sequence_capture,"supplement for generation time. Really hard to figure out when""modern"" vs ""historical"" vs ""ancient"" samples were sampled. Year for ancient appears to be in the 1970-80s, and modern post-2000? unclear as reads so marked as NA, can return after asking group",,,,,,,,,
10518,,Conservation genomics reveals possible illegal trade routes and admixture across pangolin lineages in Southeast Asia,"Nash, HC; Wirdateti; Low, GW; Choo, SW; Chong, JL; Semiadi, G; Hari, R; Sulaiman, MH; Turvey, ST; Evans, TA; Rheindt, FE","The use of genome-wide genetic markers is an emerging approach for informing evidence-based management decisions for highly threatened species. Pangolins are the most heavily trafficked mammals across illegal wildlife trade globally, but critically endangered Sunda pangolins (Manis javanica) have not been widely studied in insular Southeast Asia. We used > 12,000 single nucleotide polymorphic markers (SNPs) to assign pangolin seizures from illegal trade of unknown origin to possible geographic sources via genetic clustering with pangolins of known origin. Our SNPs reveal three previously unrecognized genetic lineages of Sunda pangolins, possibly from Borneo, Java and Singapore/Sumatra. The seizure assignments suggest the majority of pangolins were traded from Borneo to Java. Using mitochondrial markers did not provide the same resolution of pangolin lineages, and to explore if admixture might explain these differences, we applied sophisticated tests of introgression using > 2000 SNPs to investigate secondary gene flow between each of the three Sunda pangolin lineages. It is possible the admixture which we discovered is due to human-mediated movements of pangolins. Our findings impact a range of conservation actions, including tracing patterns of trade, repatriation of rescue animals, and conservation breeding. In order to conserve genetic diversity, we suggest that, pending further research, each pangolin lineage should as a precaution be protected and managed as an evolutionarily distinct conservation unit.",helencatherinenash@yahoo.co.uk,2018,10.1007/s10592-018-1080-9,CONSERVATION GENETICS,museum-dna,JW,AAS,reject,non-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,The conservation genetics of Ash Meadows pupfish populations. I. The Warm Springs pupfish Cyprinodon nevadensis pectoralis,"Martin, AP","The Warm Springs pupfish (Cyprinodon nevadensis pectoralis) inhabits several low flow (<0.15 cfs) springs in an otherwise dry Mojave Desert landscape. Increasing demands on groundwater coupled with predictions of decreased precipitation from global warming make this species a sentinel for biodiversity dependent on springs. Here we examine mitochondrial DNA haplotypes and nuclear microsatellite genotypes for individuals sampled in 1998 and 2007 as a means of inferring the historical demography of the subspecies. Estimates of genetic effective population size from comparison of allele frequencies over time underscores that all spring populations support small populations, typically <100 individuals. Such small population sizes suggest spring populations may have heightened probabilities of extirpation. Despite small population sizes, all springs harbor relatively high levels of genetic variation for both nuclear and mitochondrial DNA. Unexpectedly high levels of variation may be explained by recent declines in population size coupled with rare episodes of gene flow between springs suspected of occurring during flooding events. The inferences gained from the genetic data provide the basis for evaluating current and future restoration plans. The genetic data suggest there is a need to balance the predicted positive effects of restoring hydrological connectivity with the potential negative impacts of providing avenues for the spread of exotic species detrimental to pupfish populations.",am@colorado.edu,2010,10.1007/s10592-010-0077-9,CONSERVATION GENETICS,historical-dna,BR,AAS,accept,accept,empirical,connectivity,diversity,popsize,,,freshwater,Actinopterygii,United States,California,"1998.02.01,2007.04.01",70140,36.5-182,pre-designed,anthropogenic,human_exploitation,,,chronic,microsat,fin,ethanol,Qiagen tissue kits,NA,PCR,Only temporal with microsats. Did not give meaningful locations other than California. Generation a rang from Moyle 1976 calcualted by the divinging  1 year (365 days) ny the number of generations within a year (10 at high end and 2 at low end). Just said University of Nevado-Reno Core Facility as who did the sequencing.,,,,,,,,,
4574,,Dispersal of females and differentiation between populations of Epirrita autumnata (Lepidoptera: Geometridae) inferred from variation in mitochondrial DNA,"Snall, N; Huoponen, K; Saloniemi, I; Savontaus, ML; Ruohomaki, K","Analysis of the, mitochondrial DNA (mtDNA) control region (CR) was used to examine the dispersal of females of a geometrid moth, Epirrita autumnata, in Fermoscandia. A 542-bp-portion of the CR of 200 individuals from four northern and four southern localities was sequenced. The mtDNA CR of E. autumnata contains a substantial amount of variation as a total of 108 mtDNA haplotypes were observed. Between the northern and the southern localities (similar to1100 km), there was a moderate level of genetic differentiation (F-ST = 0.128). The amount of variation in the mtDNA CR of E. autumnata was lower in the north than in the south. The reduction in genetic variability may result from a combination of historical bottlenecks that date back to the post-glacial recolonization of Fermoscandia and, present-day bottlenecks due to the northern E. autumnata populations experiencing repeated outbreaks followed by collapse in population size. On a small spatial scale (0.6-19 km), within the northern and southern areas, no genetic differentiation was detected suggesting ongoing gene flow due to the dispersal of E. autumnata females among the localities. This finding was contrary to our earlier expectation of poor flying ability of E. autumnata females.",niina.snall@utu.fi,2004,10.14411/eje.2004.070,EUROPEAN JOURNAL OF ENTOMOLOGY,historical-dna,RC,AAS,reject,non-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9987,,"Past and present drivers of population structure in a small coastal fish, the European long snouted seahorse Hippocampus guttulatus","Woodall, LC; Koldewey, HJ; Boehm, JT; Shaw, PW","The effective design of species conservation programs is reliant on information such as extant geographic distribution, taxon-specific life-history characteristics, and the relative influence of historic processes and contemporary environmental parameters in shaping population genetic diversity. Seahorses are weak swimmers and have a brooded young, limiting their dispersal potential. They live in sheltered locations, which are physically isolated from each other. Therefore panmixia across their geographic range is unlikely. Hippocampus guttulatus, a seahorse inhabiting European waters, has a geographic range spanning a number of contemporary oceanographic features that are proposed barriers to gene flow. Thus this fish is well-placed to test the contributions of environment and life-history factors in shaping population structuring. This study found that mitochondrial DNA and nuclear DNA (microsatellite) genotype data are concordant in suggesting that, like many other small fishes in European waters, H. guttulatus extant populations expanded from at least one southern European refugial population. Subsequent population differentiation of four geographic lineages reflects contemporary oceanographic barriers to gene flow. Demographic analyses suggest a northward, and long-term isolation between Black Sea and Mediterranean Sea populations. Moreover H. guttulatus contemporary population distribution and population structure are predominately explained by historic and oceanographic influences. These findings suggest that conservation of genetic diversity in H. guttulatus may be aided by a network of marine protected areas (MPAs), implemented to conserve coastal habitats, but the species' unusual life history and gamete retaining behaviours should be considered as part of management decisions including MPA design and fisheries management plans.",l.woodall@nhm.ac.uk,2015,10.1007/s10592-015-0728-y,CONSERVATION GENETICS,historical-dna,JW,AAS,reject,non-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,"Collected over consecutive years, but couldn't find more information on temporal component/analysis",,,,,,,,,
