"","V1","Article_Number","Second_Filter_Flag","Article_Title","Authors","Abstract","Email_Addresses","Publication_Year","DOI","Source_Title","Keyword_Search","Reviewer","Recorder","Decision","Removal_Criteria","study_type","subject_1","subject_2","subject_3","subject_4","hybridization","system","tax_group","country_samp","loc_samp","year_samp","num_samp","gen_time","study_design","type_change","driver_process1","driver_process2","driver_process3","length_process","data_type","tissue_type","preserv_method","extract_method","seq_platform","lib_prep_method","notes","TP_1","NS_1","NS_2","NS_3","NS_4","NS_5","NS_6","NS_7","NS_8","NS_9","NS_10","NS_11","NS_12","NS_13","NS_14","NS_15","NS_16","NS_17","NS_18","NS_19","NS_20","NS_21","NS_22","NS_23","NS_24","NS_25","NS_26","NS_27","NS_28","NS_29","NS_30","NS_31","NS_32","NS_33","NS_34","NS_35","NS_36","NS_37","NS_38","NS_39","NS_40","NS_41","NS_42","NS_43","NS_44","NS_45","NS_46","NS_47","NS_48","NS_49","NS_50","NS_51","NS_52","NS_53","NS_54","NS_55","NS_56","NS_57","NS_58","NS_59","NS_60","NS_61","NS_62","NS_63","country_1","country_2","country_3","country_4","country_5","country_6","country_7","country_8","country_9","country_10","country_11","country_12","country_13","country_14","country_15","country_16","country_17","country_18","country_19","country_20","country_21","country_22","country_23","country_24","country_25","country_26","country_27","country_28","country_29","country_30","country_31","country_32","country_33","country_34","country_35","country_36","country_37","country_38","country_39","seq_platofrm","max_gen_diff","max_day_diff","max_year_diff"
"1",1,6855,NA,"Genetic monitoring of two decades of hybridization between allis shad (Alosa alosa) and twaite shad (Alosa fallax)","Jolly, MT; Maitland, PS; Genner, MJ","Habitat alteration has been implicated in driving hybridization between the sympatric migratory shads Alosa alosa and Alosa fallax. Morphological and molecular evidence is consistent with hybridization across the overlapping range of these species, but the temporal extent of hybrid occurrence and genetic consequences for populations have not been explored. Using eight nuclear microsatellite loci and samples collected between 1989 and 2008 in the Solway Firth (UK), we genetically identified hybrids, studied temporal changes in their frequency, and explored changes in allele frequencies of parental populations. These molecular data confirmed the hybrid status of individuals identified using morphology (number of rakers on the outer gill arch), and enabled separation of hybrids from purebred individuals. Mitochondrial cytochrome-b sequencing revealed the presence of two haplogroups, each predominantly occurring in one species. Heterospecific haplotypes were found in 22.3 and 12.8% of A. alosa and A. fallax individuals, respectively, consistent with backcrossing and suggesting that hybrids are fertile. On average, microsatellite-identified hybrids comprised 12.7% of all samples, but when individuals with cytonuclear discordance were also considered introgressed on average 25.4% of individuals were of hybrid ancestry. Overall, allelic richness remained largely unchanged within species, but there were declines in the inbreeding coefficient (F (IS)) of both species and episodes of significant temporal allelic frequency change. Hybrids sampled between 2004 and 2008 showed no evidence of lower fecundity relative to purebred individuals. Together, results suggest that hybridization between shad species in northern Europe is prevalent, and has been ongoing over at least two decades. The challenge is now to understand the extent to which observed patterns are linked to immigration from other populations, and the mechanisms that have prevented species collapse despite apparent hybrid fertility and longstanding introgression of neutral markers.","mtjolly@ymail.com",2011,"10.1007/s10592-011-0211-3","CONSERVATION GENETICS","temporal-genetics","JW","ACS","accept","accept","empirical","adaptation","diversity","connectivity","","yes","other","Actinopterygii","UK","Soloway Firth","2008.12.31-2006.0.01, 2005.12.31-2004.01.01, 1994.12.31- 1993.01.01, 1992.12.31-1991.01.01, 1990.12.31-1989.01.01",NA,1153,"opportunistic","anthropogenic","habitat_loss","competition","env_variation","chronic","microsat","scale","dried","CTAB","Sanger","PCR","anadromous; seq_platform = megaBACE (sanger equivalent)","2008.12.31-2006.0.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UK","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.70251517779705,6575,18.013698630137
"2",2,1974,NA,"Microgeographical population structure and adaptation in Atlantic cod Gadus morhua: spatio-temporal insights from gene-associated DNA markers","Poulsen, NA; Hemmer-Hansen, J; Loeschcke, V; Carvalho, GR; Nielsen, EE","Recent technical advances have stimulated studies on spatial scales of adaptive genetic variation in marine fishes. However, very few studies have combined spatial and temporal sampling to investigate adaptive genetic structuring at local and microgeographical scales, i.e. scales at which neutral genetic markers have typically revealed very limited levels of population structure. In the present study we analyzed 92 gene-associated single-nucleotide polymorphism (SNP) markers in Atlantic cod Gadus morhua from several sampling sites within the North Sea and adjacent areas. To test for temporal stability, we included long-and short-term (i.e. from 24 to 38 and from 8 to 11 yr, respectively) temporally replicated samples from a subset of populations. As expected, we found very low levels of neutral genetic population structure (F-ST = 0.003). Three specific loci, however, showed highly elevated levels of genetic differentiation. Interestingly, these loci were identical to loci previously found to display signals of adaptive evolution on larger spatial scales. Analysis of historical samples revealed long-term temporally stable patterns of both neutral and adaptive divergence between some populations, indicating long-term temporal adaptive stability driven by strong local selection. In an environmentally dynamic area, on the other hand, patterns of genetic structuring were more variable. Overall, our results not only suggest separation of populations under both evolutionary and ecological paradigms, but also illustrate the usefulness of the spatio-temporal approach for making inferences about the dynamics and geographical distribution of adaptive genetic variation in natural populations.","jhh@aqua.dtu.dk",2011,"10.3354/meps09246","MARINE ECOLOGY PROGRESS SERIES","historical-dna","KF","ACS","accept","accept","empirical","adaptation","connectivity","","","no","marine","Actinopterygii",NA,"57.15/11.35.56.45/07.30.57.45/05.30, 54.29/00.02.50.47/0.29, 58.00/03.00.59.58/05.15, 62.53/06.18.60.56/08.52, 57.10/08.20, 55.17/03.39, NA, NA.NA","2007.01.01, 2006.01.01, 2003.01.01, 2002.01.01, 1999.01.01, 1996.01.01, 1978.01.01, 1965.01.01","40.40.40, 40.40, 40.40, 40.40, 40, 40, 32, 33.32",2739,"opportunistic","natural","env_variation","","","chronic","SNP","gills",NA,"chelex","Agena MassARRAY",NA,"","2007.01.01","40.40.40"," 40.40"," 40.40"," 40.40"," 40"," 40"," 32"," 33.32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.60058415480102,15340,42.027397260274
"3",3,4764,NA,"Patterns of genomic variation in Coho salmon following reintroduction to the interior Columbia River","Campbell, NR; Kamphaus, C; Murdoch, K; Narum, SR","Coho salmon were extirpated in the mid-20th century from the interior reaches of the Columbia River but were reintroduced with relatively abundant source stocks from the lower Columbia River near the Pacific coast. Reintroduction of Coho salmon to the interior Columbia River (Wenatchee River) using lower river stocks placed selective pressures on the new colonizers due to substantial differences with their original habitat such as migration distance and navigation of six additional hydropower dams. We used restriction site-associated DNA sequencing (RAD-seq) to genotype 5,392 SNPs in reintroduced Coho salmon in the Wenatchee River over four generations to test for signals of temporal structure and adaptive variation. Temporal genetic structure among the three broodlines of reintroduced fish was evident among the initial return years (2000, 2001, and 2002) and their descendants, which indicated levels of reproductive isolation among broodlines. Signals of adaptive variation were detected from multiple outlier tests and identified candidate genes for further study. This study illustrated that genetic variation and structure of reintroduced populations are likely to reflect source stocks for multiple generations but may shift over time once established in nature.","camn@critfc.org",2017,"10.1002/ece3.3492","ECOLOGY AND EVOLUTION","temporal-genetics","KF","ACS","accept","accept","empirical","adaptation","connectivity","","","no","other","Actinopterygii","USA","Wenatchee River, USA","2009.01.01, 2006.01.01, 2000.01.01","37, 70, 31",1095,"pre-designed","anthropogenic","env_variation","","","chronic","SNP","scale",NA,"Qiagen","Illumina_HiSeq","RAD","","2009.01.01","37"," 70"," 31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0027397260274,3288,9.00821917808219
"4",4,8787,NA,"Temporal stability and assignment power of adaptively divergent genomic regions between herring (Clupea harengus) seasonal spawning aggregations","Kerr, Q; Fuentes-Pardo, AP; Kho, J; McDermid, JL; Ruzzante, DE","Atlantic herring (Clupea harengus), a vital ecosystem component and target of the largest Northwest Atlantic pelagic fishery, undergo seasonal spawning migrations that result in elusive sympatric population structure. Herring spawn mostly in fall or spring, and genomic differentiation was recently detected between these groups. Here we used a subset of this differentiation, 66 single nucleotide polymorphisms (SNPs) to analyze the temporal dynamics of this local adaptation and the applicability of SNP subsets in stock assessment. We showed remarkable temporal stability of genomic differentiation corresponding to spawning season, between samples taken a decade apart (2005 N = 90 vs. 2014 N = 71) in the Gulf of St. Lawrence, and new evidence of limited interbreeding between spawning components. We also examined an understudied and overexploited herring population in Bras d'Or lake (N = 97); using highly reduced SNP panels (N-SNPs > 6), we verified little-known sympatric spawning populations within this unique inland sea. These results describe consistent local adaptation, arising from asynchronous reproduction in a migratory and dynamic marine species. Our research demonstrates the efficiency and precision of SNP-based assessments of sympatric subpopulations; and indeed, this temporally stable local adaptation underlines the importance of such fine-scale management practices.","daniel.ruzzante@dal.ca",2019,"10.1002/ece3.4768","ECOLOGY AND EVOLUTION","temporal-genomics","KF","ACS","accept","accept","empirical","adaptation","connectivity","","","no","marine","Actinopterygii","Canada","Gulf of St. Lawrence","2014.10.01, 2014.04.01, 2005.10.01, 2005.04.01","47, 31, 40, 30",1228,"pre-designed","natural","env_variation","","","chronic","SNP","scale","ethanol, frozen","phenolchloroform","Agena MassARRAY","PCR","","2014.10.01","47"," 31"," 40"," 30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8257328990228,3470,9.50684931506849
"5",5,4362,NA,"Evidence for concerted movement of nuclear and mitochondrial clines in a lizard hybrid zone","Leache, AD; Grummer, JA; Harris, RB; Breckheimer, IK","Moving hybrid zones provide compelling examples of evolution in action, yet long-term studies that test the assumptions of hybrid zone stability are rare. Using replicated transect samples collected over a 10-year interval from 2002 to 2012, we find evidence for concerted movement of genetic clines in a plateau fence lizard hybrid zone (Sceloporus tristichus) in Arizona. Cline-fitting analyses of SNP and mtDNA data both provide evidence that the hybrid zone shifted northward by approximately 2 km during the 10-year interval. For each sampling period, the mtDNA cline centre is displaced from the SNP cline centre and maintaining an introgression distance of approximately 3 km. The northward expansion of juniper trees into the Little Colorado River Basin in the early 1900s provides a plausible mechanism for hybrid zone formation and movement, and a broadscale quantification of recent land cover change provides support for increased woody species encroachment at the southern end of the hybrid zone. However, population processes can also contribute to hybrid zone movement, and the current stability of the ecotone habitats in the centre of the hybrid zone suggests that movement could decelerate in the future.","leache@uw.edu",2017,"10.1111/mec.14033","MOLECULAR ECOLOGY","historical-dna","JW","ACS","accept","accept","empirical","adaptation","connectivity","","","yes","terrestrial","Reptilia","USA","(lat/lon.lat/lon) 34.90371/110.18208.34.83582/110.1449.34.79292/110.09873.34.73801/110.03783.34.6678/110.0377.34.6025/110.0624.34.52789/110.08072.34.33398/110.11372
","2012.01.01, 2002.01.01","20.9.18.12.18.10.14.20, 13.8.11.9.25.12.5.12",520,"opportunistic","natural","env_variation","competition","","chronic","mtDNA_seq","liver",NA,"Qiagen","Illumina_HiSeq","RAD","","2012.01.01","20.9.18.12.18.10.14.20"," 13.8.11.9.25.12.5.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.02307692307692,3652,10.0054794520548
"6",7,5766,NA,"Morphometric and genetic changes in a population of Apis mellifera after 34 years of Africanization","Francoy, TM; Wittmann, D; Steinhage, V; Drauschke, M; Muller, S; Cunha, DR; Nascimento, AM; Figueiredo, VLC; Simoes, ZLP; De Jong, D; Arias, MC; Goncalves, LS","Though the replacement of European bees by Africanized honey bees in tropical America has attracted considerable attention, little is known about the temporal changes in morphological and genetic characteristics in these bee populations. We examined the changes in the morphometric and genetic profiles of an Africanized honey bee population collected near where the original African swarms escaped, after 34 years of Africanization. Workers from colonies sampled in 1968 and in 2002 were morphometrically analyzed using relative warps analysis and an Automatic Bee Identification System (ABIS). All the colonies had their mitochondrial DNA identified. The subspecies that mixed to form the Africanized honey bees were used as a comparison for the morphometric analysis. The two morphometric approaches showed great similarity of Africanized bees with the African subspecies, Apis mellifera scutellata, corroborating with other markers. We also found the population of 1968 to have the pattern of wing venation to be more similar to A. m. scutellata than the current population. The mitochondrial DNA of European origin, which was very common in the 1968 population, was not found in the current population, indicating selective pressure replacing the European with the African genome in this tropical region. Both morphometric methodologies were very effective in discriminating the A. mellifera groups; the non-linear analysis of ABIS was the most successful in identifying the bees, with more than 94% correct classifications.","tfrancoy@rge.fmrp.usp.br",2009,"10.4238/vol8-2kerr019","GENETICS AND MOLECULAR RESEARCH","temporal-genetics","JW","ACS","accept","accept","empirical","adaptation","connectivity","","","no","terrestrial","Insecta","Brazil","Ribeirão Preto (21° 10’S 47° 51’W) ","2002.01.01, 1968.01.01","18, 18",12,"opportunistic","anthropogenic","invasive_species","","","chronic","mtDNA_seq","skin","dried","CTAB",NA,"PCR","","2002.01.01","18"," 18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1034.91666666667,12419,34.0246575342466
"7",8,9420,NA,"Historical DNA documents long-distance natal homing in marine fish","Bonanomi, S; Therkildsen, NO; Retzel, A; Hedeholm, RB; Pedersen, MW; Meldrup, D; Pampoulie, C; Hemmer-Hansen, J; Gronkjaer, P; Nielsen, EE","The occurrence of natal homing in marine fish remains a fundamental question in fish ecology as its unequivocal demonstration requires tracking of individuals from fertilization to reproduction. Here, we provide evidence of long-distance natal homing (>1000 km) over more than 60 years in Atlantic cod (Gadus morhua), through genetic analysis of archived samples from marked and recaptured individuals. Using a high differentiation single-nucleotide polymorphism assay, we demonstrate that the vast majority of cod tagged in West Greenland and recaptured on Icelandic spawning grounds belonged to the Iceland offshore population, strongly supporting a hypothesis of homing. The high degree of natal fidelity observed provides the evolutionary settings for development of locally adapted populations in marine fish and emphasize the need to consider portfolio effects in marine fisheries management strategies.","sara.bonanomi@an.ismar.cnr.it",2016,"10.1111/mec.13580","MOLECULAR ECOLOGY","historical-dna","JW","ACS","accept","accept","empirical","adaptation","connectivity","","","no","marine","Actinopterygii","Greenland","Western Coast of Greenland","2009.12.31-2001.01.01, 1989.12.31-1960.01.01, 1969.12.31-1950.01.01","15, 54, 77",2737.5,"pre-designed","natural","env_variation","","","chronic","SNP","bone","dried","omega","Fluidigm BioMark HD","PCR","","2009.12.31-2001.01.01","15"," 54"," 77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.33698630136986,14610,40.027397260274
"8",9,1070,NA,"Microevolution in time and space: SNP analysis of historical DNA reveals dynamic signatures of selection in Atlantic cod","Therkildsen, NO; Hemmer-Hansen, J; Als, TD; Swain, DP; Morgan, MJ; Trippel, EA; Palumbi, SR; Meldrup, D; Nielsen, EE","Little is known about how quickly natural populations adapt to changes in their environment and how temporal and spatial variation in selection pressures interact to shape patterns of genetic diversity. We here address these issues with a series of genome scans in four overfished populations of Atlantic cod (Gadus morhua) studied over an 80-year period. Screening of >1000 gene-associated single-nucleotide polymorphisms (SNPs) identified 77 loci that showed highly elevated levels of differentiation, likely as an effect of directional selection, in either time, space or both. Exploratory analysis suggested that temporal allele frequency shifts at certain loci may correlate with local temperature variation and with life history changes suggested to be fisheries induced. Interestingly, however, largely nonoverlapping sets of loci were temporal outliers in the different populations and outliers from the 1928 to 1960 period showed almost complete stability during later decades. The contrasting microevolutionary trajectories among populations resulted in sequential shifts in spatial outliers, with no locus maintaining elevated spatial differentiation throughout the study period. Simulations of migration coupled with observations of temporally stable spatial structure at neutral loci suggest that population replacement or gene flow alone could not explain all the observed allele frequency variation. Thus, the genetic changes are likely to at least partly be driven by highly dynamic temporally and spatially varying selection. These findings have important implications for our understanding of local adaptation and evolutionary potential in high gene flow organisms and underscore the need to carefully consider all dimensions of biocomplexity for evolutionarily sustainable management.","nthe@stanford.edu",2013,"10.1111/mec.12260","MOLECULAR ECOLOGY","ancient-dna","KJ","ACS","accept","accept","empirical","adaptation","diversity","","","no","marine","Actinopterygii","Canada","3NO.3Ps.4VsW, 4T, 4T, 3Ps, 3NO, 4T, 4T, 3NO, 4T, 3Ps, 4VsW, 4T.3NO, 4T","2010.01.01, 2008.01.01, 2002.01.01, 1993.01.01, 1990.01.01, 1983.01.01, 1976.01.01, 1973.01.01, 1968.01.01, 1964.01.01, 1961.01.01, 1960.01.01, 1928.01.01","32.26.22, 39, 29, 25, 37, 37, 50, 37, 31, 33, 16, 37.28, 29",2737.5,"opportunistic","anthropogenic","human_exploitation","env_variation","","chronic","SNP","bone","dried","omega","Illumina_HiSeq","PCR","4T, 3NO, 3Ps, and 4VsW are Northwest Atlantic Fishery Organization(NAFO) management areas for cod","2010.01.01","32.26.22"," 39"," 29"," 25"," 37"," 37"," 50"," 37"," 31"," 33"," 16"," 37.28"," 29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.94100456621,29951,82.0575342465753
"9",10,5694,NA,"THE INTENSITY OF SELECTION ACTING ON THE COUCH POTATO GENE-SPATIAL-TEMPORAL VARIATION IN A DIAPAUSE CLINE","Cogni, R; Kuczynski, C; Koury, S; Lavington, E; Behrman, EL; O'Brien, KR; Schmidt, PS; Eanes, WF","Cosmopolitan populations of Drosophila melanogaster have co-opted a form of reproductive diapause to overwinter in northern populations. Polymorphism in the couch potato gene has been implicated in genetic variation for this diapause trait. Using a collection of 20 populations from Florida to Canada and 11 collections from 3 years in a Pennsylvania orchard, we estimated the allele frequencies for 15 single nucleotide polymorphisms (SNPs) in the couch potato gene. These include the specific polymorphism associated with diapause inducability. We find that the SNP polymorphism, 48034(A/T), is correlated with latitude and its frequencies are predicted by the incidence of diapause trait. We find that the clinal patterns for cpo SNPs sampled in 1997 are similar to the same SNPs sampled in 2009-2010. SNPs that show apparent associations with cpo expression are also clinal with the low-expression allele increasing in frequency, as would be predicted from functional knockout studies of cpo. Finally, we see a significant pattern where the frequency of the diapause-causing allele drops in frequency during the summer season, consistent with the drop in the incidence of the diapause trait. The selection required to drive this response is large, roughly 24% to 59% per generation depending on the degree of dominance.","walter.eanes@stonybrook.edu",2014,"10.1111/evo.12291","EVOLUTION","temporal-genetics","JW","ACS","accept","accept","empirical","adaptation","diversity","","","no","terrestrial","Insecta","Canada,USA","Media(PA), Hahira(GA), Churchville(MD).Jacksonville(FL), Charlottesville(VA), Venus(FL), Smithfield(NC).Homestead(FL), Eutawville(SC), Bowdoin(ME).Putney(VT), Shoreham(VT).Marion(NY).Newark(NY).Harvard(MA).Middlefield(CT), Riverhead(NY), Sudbury(ON), Princeton(NJ), Raleigh(NC)","2011.11.01-2009.06.01, 2010.11.01, 2010.10.01, 2010.09.01, 2010.08.01, 2010.07.01, 2010.06.01, 2009.10.01, 2009.09.01, 2009.08.01, 2009.08.01-2008.08.01, 2009.06.01, 2005.08.01",NA,21,"pre-designed","natural","env_variation","","","chronic","SNP","skin","ethanol",NA,"454-pyrosequencing",NA,"num.sampled and extract_method NA","2011.11.01-2009.06.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canada","USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.714285714286,2283,6.25479452054795
"10",11,2122,NA,"Physiological adaptation along environmental gradients and replicated hybrid zone structure in swordtails (Teleostei: Xiphophorus)","Culumber, ZW; Shepard, DB; Coleman, SW; Rosenthal, GG; Tobler, M","Local adaptation is often invoked to explain hybrid zone structure, but empirical evidence of this is generally rare. Hybrid zones between two poeciliid fishes, Xiphophorus birchmanni and X. malinche, occur in multiple tributaries with independent replication of upstream-to-downstream gradients in morphology and allele frequencies. Ecological niche modelling revealed that temperature is a central predictive factor in the spatial distribution of pure parental species and their hybrids and explains spatial and temporal variation in the frequency of neutral genetic markers in hybrid populations. Among populations of parentals and hybrids, both thermal tolerance and heat-shock protein expression vary strongly, indicating that spatial and temporal structure is likely driven by adaptation to local thermal environments. Therefore, hybrid zone structure is strongly influenced by interspecific differences in physiological mechanisms for coping with the thermal environment.","zculumber@gmail.com",2012,"10.1111/j.1420-9101.2012.02562.x","JOURNAL OF EVOLUTIONARY BIOLOGY","temporal-genetics","AAS","ACS","accept","accept","empirical","adaptation","","","","yes","terrestrial","Actinopterygii","Mexico","Calnali(mid), Apantla.Calnali(mid).Xochicoatlán.Tlatemaco, Xochicoatlán, Aguazarca, Xochicoatlán, Aguazarca, Aguazarca, Xochicoatlán, Xochicoatlán, Xochicoatlán, Aguazarca, Papatlatla, Xochicoatlán, SanPedro.Tlatemaco, Calnali(high).Calnali(low).Calnali(mid), Tula, Apantla, SanPedro, Aguazarca, Calnali(mid), Xochicoatlán, Papatlatla, Tula, Calnali(low), Apantla, Calnali(high).Calnali(mid)","2010.01.01, 2009.06.01, 2009.5.28, 2009.5.26, 2009.03.14, 2009.03.13, 2008.11.21, 2008.11.20, 2008.09.11, 2008.05.29, 2008.05.28, 2008.03.10, 2007.06.14, 2007.06.13, 2007.06.01, 2007.05.17, 2006.06.28, 2006.06.18, 2005.12.01, 2005.11.12, 2005.06.14, 2005.06.01, 2005.04.17, 2004.03.01, 2003.04.19, 2003.04.14",NA,304,"pre-designed","natural","env_variation","","","acute","SNP","fin","ethanol","Qiagen",NA,"PCR","num.samped = NA","2010.01.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.07236842105263,2454,6.72328767123288
